age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
49.00,1,1.00,1.00,3.00,2.00,2.00,1.00,11.00,3.00,227.00,4.00,999.00,0.00,1.00,2.00
37.00,3,1.00,2.00,2.00,2.00,2.00,2.00,11.00,3.00,202.00,2.00,999.00,1.00,2.00,2.00
78.00,6,1.00,3.00,2.00,2.00,2.00,1.00,7.00,1.00,1148.00,1.00,999.00,0.00,1.00,1.00
36.00,2,1.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,60.00,2.00,999.00,0.00,1.00,2.00
59.00,6,3.00,2.00,2.00,2.00,2.00,1.00,6.00,2.00,368.00,2.00,999.00,0.00,1.00,2.00
29.00,2,2.00,2.00,2.00,2.00,2.00,1.00,8.00,3.00,256.00,2.00,999.00,0.00,1.00,2.00
26.00,9,2.00,1.00,2.00,2.00,2.00,2.00,8.00,3.00,449.00,1.00,999.00,0.00,1.00,1.00
30.00,1,1.00,3.00,2.00,1.00,2.00,1.00,11.00,3.00,66.00,2.00,999.00,0.00,1.00,2.00
50.00,1,1.00,3.00,3.00,2.00,2.00,2.00,5.00,5.00,574.00,1.00,999.00,0.00,1.00,2.00
33.00,2,2.00,4.00,2.00,1.00,2.00,1.00,7.00,2.00,498.00,5.00,999.00,0.00,1.00,2.00
44.00,8,3.00,4.00,2.00,1.00,2.00,1.00,7.00,1.00,158.00,5.00,999.00,0.00,1.00,2.00
32.00,10,1.00,2.00,2.00,1.00,2.00,2.00,5.00,5.00,93.00,5.00,999.00,0.00,1.00,2.00
26.00,7,2.00,5.00,2.00,1.00,2.00,1.00,7.00,4.00,71.00,1.00,999.00,0.00,1.00,2.00
43.00,5,1.00,2.00,2.00,2.00,1.00,2.00,7.00,4.00,203.00,1.00,999.00,0.00,1.00,2.00
56.00,1,1.00,1.00,2.00,2.00,2.00,1.00,5.00,4.00,369.00,1.00,999.00,0.00,1.00,2.00
40.00,1,1.00,1.00,2.00,1.00,2.00,1.00,5.00,3.00,954.00,1.00,999.00,0.00,1.00,1.00
32.00,2,3.00,2.00,2.00,1.00,2.00,1.00,8.00,2.00,105.00,1.00,999.00,0.00,1.00,2.00
47.00,10,2.00,5.00,3.00,2.00,2.00,2.00,5.00,2.00,148.00,5.00,999.00,0.00,1.00,2.00
50.00,8,2.00,3.00,2.00,1.00,2.00,2.00,5.00,2.00,98.00,9.00,999.00,0.00,1.00,2.00
